Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA43,10.895,1,0.065041581,4,196.3794,OUT017,2007,2.0,2,1,3121.2704
NCP18,12.15,1,0.028760013,5,151.4708,OUT017,2007,2.0,2,1,4815.0656
FDK21,7.905,1,0.010053105,7,249.0408,OUT018,2009,1.0,3,3,6258.52
NCX54,9.195,1,0.048157338,5,106.1622,OUT045,2002,2.0,2,1,2117.244
DRK35,8.365,1,0.071958197,11,38.0506,OUT049,1999,1.0,1,1,796.9626
FDY21,15.1,1,0.173481304,7,194.511,OUT046,1997,2.0,1,1,4910.275
FDI26,12.6,1,0.061082177,12,180.0344,OUT019,1985,2.0,1,2,892.172
FDM20,10.0,1,0.0,4,246.9144,OUT018,2009,1.0,3,3,3185.1872
FDV27,7.97,2,0.040071131,3,87.3514,OUT045,2002,2.0,2,1,1062.6168
FDF09,12.6,1,0.012090074,4,38.2848,OUT027,1985,1.0,3,4,484.7024
FDY40,12.6,2,0.15028599,8,51.0692,OUT019,1985,2.0,1,2,147.8076
FDY45,12.6,1,0.026015519,7,255.8356,OUT027,1985,1.0,3,4,2543.356
FDC46,17.7,1,0.195068226,7,185.4266,OUT010,1998,2.0,3,2,184.4266
FDH19,19.35,1,0.033082215,3,172.5738,OUT035,2004,2.0,2,1,4865.6664
FDZ03,13.65,2,0.078946455,1,186.024,OUT045,2002,2.0,2,1,1118.544
DRH37,17.6,1,0.041700756,2,164.8526,OUT045,2002,2.0,2,1,2302.3364
NCI17,8.645,1,0.143422643,10,95.841,OUT046,1997,2.0,1,1,2027.361
FDJ58,15.6,2,0.105296072,7,170.1764,OUT046,1997,2.0,1,1,3435.528
FDL12,15.85,2,0.121531501,6,59.222,OUT013,1987,3.0,3,1,599.22
FDH35,18.25,1,0.0,16,164.7526,OUT045,2002,2.0,2,1,4604.6728
FDG02,7.855,1,0.011324862,12,189.6188,OUT017,2007,2.0,2,1,2285.0256
NCZ18,7.825,1,0.186357148,5,254.3698,OUT049,1999,1.0,1,1,5580.7356
FDC29,8.39,2,0.024205661,8,114.0176,OUT046,1997,2.0,1,1,2290.352
FDQ10,12.85,1,0.033230816,7,172.3422,OUT049,1999,1.0,1,1,1207.0954
FDN48,12.6,1,0.113720344,6,89.9804,OUT019,1985,2.0,1,2,643.1628
FDL04,19.0,1,0.112556507,8,104.9622,OUT017,2007,2.0,2,1,1587.933
FDV25,5.905,1,0.0,12,222.5456,OUT045,2002,2.0,2,1,5305.0944
FDD58,7.76,1,0.059352241,7,101.87,OUT046,1997,2.0,1,1,1697.79
FDN04,11.8,2,0.014087057,8,180.3344,OUT046,1997,2.0,1,1,1427.4752
FDV45,16.75,1,0.045230944,7,187.9556,OUT018,2009,1.0,3,3,4693.89
NCL18,12.6,1,0.293417759,5,194.6136,OUT019,1985,2.0,1,2,583.2408
FDR12,12.6,2,0.031382044,6,171.3764,OUT027,1985,1.0,3,4,3091.9752
FDG20,15.5,2,0.12639886,4,177.0028,OUT017,2007,2.0,2,1,2479.4392
FDZ55,6.055,1,0.025403898,4,160.992,OUT035,2004,2.0,2,1,2716.464
FDQ49,12.6,2,0.039057677,9,155.963,OUT027,1985,1.0,3,4,3285.723
FDN33,6.305,2,0.123115764,7,95.6436,OUT046,1997,2.0,1,1,661.8052
FDN27,20.85,1,0.039624006,3,117.2808,OUT049,1999,1.0,1,1,1523.3504
FDW20,20.75,1,0.040421193,4,122.173,OUT010,1998,2.0,3,2,369.519
DRG27,8.895,1,0.105274111,1,39.9138,OUT049,1999,1.0,1,1,690.4346
DRI25,19.6,1,0.033970195,2,55.1614,OUT045,2002,2.0,2,1,1381.535
FDA44,19.7,1,0.053212652,4,57.893,OUT035,2004,2.0,2,1,622.523
NCR17,9.8,1,0.024378706,10,114.5492,OUT035,2004,2.0,2,1,1274.3412
FDU04,12.6,1,0.009714595,8,120.0414,OUT019,1985,2.0,1,2,487.3656
FDF41,12.15,1,0.131383762,8,246.046,OUT049,1999,1.0,1,1,1231.73
FDB56,8.75,2,0.07461309,4,187.4556,OUT035,2004,2.0,2,1,3755.112
NCP18,12.6,1,0.028459761,5,149.9708,OUT027,1985,1.0,3,4,4363.6532
FDB56,8.75,2,0.074627201,4,187.8556,OUT046,1997,2.0,1,1,1314.2892
FDT28,13.3,1,0.063695084,8,151.0708,OUT045,2002,2.0,2,1,1805.6496
FDD10,12.6,2,0.045797829,7,178.5344,OUT027,1985,1.0,3,4,2854.9504
FDW57,8.31,2,0.115857223,7,179.1028,OUT049,1999,1.0,1,1,3896.2616
DRB48,16.75,2,0.024832806,2,38.7822,OUT013,1987,3.0,3,1,667.7974
FDP09,19.75,1,0.034027909,7,212.0902,OUT018,2009,1.0,3,3,3185.853
FDH14,17.1,2,0.0467696,12,141.1838,OUT013,1987,3.0,3,1,2247.7408
FDA47,10.5,2,0.116576702,6,163.121,OUT013,1987,3.0,3,1,1794.331
FDG12,6.635,2,0.0,6,121.3098,OUT045,2002,2.0,2,1,2530.7058
DRE60,12.6,1,0.278974075,2,225.372,OUT019,1985,2.0,1,2,679.116
DRK49,14.15,1,0.035913805,2,41.4138,OUT013,1987,3.0,3,1,812.276
FDD03,13.3,1,0.079806266,1,232.53,OUT046,1997,2.0,1,1,699.09
FDS52,8.89,1,0.005505481,8,102.4016,OUT017,2007,2.0,2,1,2732.4432
FDW39,12.6,2,0.064625342,3,176.937,OUT019,1985,2.0,1,2,176.437
FDX34,12.6,1,0.071636937,7,121.7098,OUT027,1985,1.0,3,4,4097.3332
FDV11,9.1,2,0.0,13,173.2054,OUT045,2002,2.0,2,1,3151.8972
FDD17,7.5,1,0.032677678,8,239.0906,OUT049,1999,1.0,1,1,5942.265
FDZ16,16.85,2,0.160760054,8,192.4478,OUT017,2007,2.0,2,1,4843.695
FDZ46,7.485,1,0.06911065,7,109.0228,OUT035,2004,2.0,2,1,2542.0244
DRA12,11.6,1,0.041177505,2,140.3154,OUT017,2007,2.0,2,1,2552.6772
FDY58,11.65,1,0.040081193,7,227.0694,OUT018,2009,1.0,3,3,1141.847
NCF19,13.0,1,0.035307322,5,47.5034,OUT017,2007,2.0,2,1,680.4476
DRJ13,12.65,1,0.063017847,2,159.0578,OUT045,2002,2.0,2,1,2085.9514
FDB14,20.25,2,0.171938781,12,92.512,OUT010,1998,2.0,3,2,186.424
FDJ38,8.6,2,0.040197932,12,190.153,OUT035,2004,2.0,2,1,3036.048
FDW11,12.6,1,0.049058014,13,62.7194,OUT017,2007,2.0,2,1,866.8716
FDL40,17.7,1,0.01161096,8,95.041,OUT035,2004,2.0,2,1,868.869
DRI49,14.15,1,0.183507295,2,82.4276,OUT046,1997,2.0,1,1,1137.1864
FDV38,19.25,1,0.102349519,1,52.7956,OUT017,2007,2.0,2,1,928.1252
DRG23,8.88,1,0.086708987,11,151.7682,OUT013,1987,3.0,3,1,762.341
NCP30,20.5,1,0.032835147,5,40.2822,OUT045,2002,2.0,2,1,707.0796
FDY25,12.6,1,0.033809913,12,180.5976,OUT027,1985,1.0,3,4,7968.2944
NCH54,13.5,1,0.07266912,5,160.292,OUT046,1997,2.0,1,1,1438.128
NCR53,12.6,1,0.144338493,10,224.4404,OUT027,1985,1.0,3,4,6976.2524
FDS52,8.89,1,0.009163216,8,101.7016,OUT010,1998,2.0,3,2,101.2016
FDG02,7.855,1,0.011307038,12,188.5188,OUT018,2009,1.0,3,3,952.094
NCO26,7.235,1,0.076855628,5,116.0492,OUT046,1997,2.0,1,1,1969.4364
FDH35,12.6,1,0.059956876,16,165.4526,OUT027,1985,1.0,3,4,5262.4832
FDB51,6.92,1,0.038532062,1,60.5852,OUT045,2002,2.0,2,1,1314.2892
FDX44,9.3,1,0.043209581,4,90.8172,OUT017,2007,2.0,2,1,535.3032
NCN07,18.5,1,0.056816465,14,132.1284,OUT010,1998,2.0,3,2,263.6568
NCC31,8.02,1,0.019866705,5,154.5972,OUT035,2004,2.0,2,1,1402.1748
NCX54,9.195,1,0.048331717,5,105.1622,OUT017,2007,2.0,2,1,1693.7952
NCO55,12.8,1,0.091221855,14,105.5938,OUT045,2002,2.0,2,1,2143.876
NCC30,16.6,1,0.027622076,5,177.6344,OUT049,1999,1.0,1,1,2676.516
FDI16,14.0,2,0.0,8,53.064,OUT035,2004,2.0,2,1,905.488
FDP16,18.6,1,0.039355947,8,246.3802,OUT049,1999,1.0,1,1,7370.406
FDB11,16.0,1,0.060836524,16,226.8404,OUT035,2004,2.0,2,1,6301.1312
NCB06,17.6,1,0.082316506,10,160.692,OUT035,2004,2.0,2,1,1597.92
FDA45,21.25,1,0.155350299,7,178.237,OUT035,2004,2.0,2,1,529.311
NCO26,7.235,1,0.076841095,5,117.5492,OUT035,2004,2.0,2,1,1969.4364
DRJ25,14.6,1,0.151419185,2,50.3692,OUT017,2007,2.0,2,1,1034.6532
FDR28,13.85,2,0.026001976,8,161.521,OUT018,2009,1.0,3,3,1794.331
FDI04,13.65,2,0.073209447,8,197.6426,OUT018,2009,1.0,3,3,2768.3964
DRK12,12.6,1,0.041683481,2,31.29,OUT027,1985,1.0,3,4,898.83
FDX20,7.365,1,0.042560252,4,226.172,OUT046,1997,2.0,1,1,3169.208
NCI18,18.35,1,0.014081156,5,223.5746,OUT018,2009,1.0,3,3,3589.9936
FDB36,5.465,2,0.0,6,132.5626,OUT018,2009,1.0,3,3,262.3252
FDN13,18.6,1,0.152918384,9,99.8358,OUT017,2007,2.0,2,1,1910.1802
DRD24,13.85,1,0.030969274,2,140.9154,OUT017,2007,2.0,2,1,1701.7848
FDQ28,14.0,2,0.060376776,8,154.5656,OUT013,1987,3.0,3,1,2471.4496
FDM22,14.0,2,0.04192285,7,54.764,OUT013,1987,3.0,3,1,1331.6
FDR07,12.6,1,0.077367431,4,97.0094,OUT027,1985,1.0,3,4,1808.9786
FDV25,5.905,1,0.045838211,12,222.5456,OUT018,2009,1.0,3,3,3315.684
DRF49,7.27,1,0.071077939,2,114.2518,OUT046,1997,2.0,1,1,2618.5914
FDW51,6.155,2,0.094659871,3,214.556,OUT046,1997,2.0,1,1,2769.728
DRL01,19.5,2,0.077608838,2,233.4958,OUT017,2007,2.0,2,1,5375.0034
FDP25,15.2,1,0.021327477,12,216.8824,OUT017,2007,2.0,2,1,2838.9712
FDL50,12.15,2,0.042485444,12,125.0046,OUT018,2009,1.0,3,3,1743.0644
NCB30,12.6,1,0.025578526,5,198.8084,OUT027,1985,1.0,3,4,5555.4352
FDW11,12.6,1,0.0489808,13,61.9194,OUT018,2009,1.0,3,3,619.194
NCM43,14.5,1,0.019471688,14,164.821,OUT035,2004,2.0,2,1,2120.573
FDK44,16.6,1,0.122918852,4,173.0738,OUT017,2007,2.0,2,1,3823.0236
FDM15,11.8,2,0.057373797,3,151.4366,OUT013,1987,3.0,3,1,1360.2294
FDS31,13.1,2,0.044155597,4,178.8318,OUT013,1987,3.0,3,1,3969.4996
FDI32,17.7,1,0.291865402,4,115.1834,OUT010,1998,2.0,3,2,345.5502
FDR47,17.85,1,0.0,13,196.5794,OUT010,1998,2.0,3,2,585.2382
FDB35,12.3,2,0.064750025,16,92.6804,OUT045,2002,2.0,2,1,1010.6844
NCU05,11.8,1,0.098312421,10,81.4618,OUT010,1998,2.0,3,2,161.1236
DRY23,12.6,2,0.191013663,2,42.1112,OUT019,1985,2.0,1,2,42.6112
FDO24,11.1,1,0.176573035,6,157.4604,OUT045,2002,2.0,2,1,3010.7476
FDQ28,12.6,2,0.060134441,8,153.0656,OUT027,1985,1.0,3,4,6024.1584
FDV39,11.3,1,0.007294652,3,198.1426,OUT045,2002,2.0,2,1,988.713
NCO17,12.6,1,0.128478462,10,117.944,OUT019,1985,2.0,1,2,239.688
FDU50,5.75,2,0.075107656,1,112.8176,OUT013,1987,3.0,3,1,1374.2112
FDT12,12.6,2,0.049381406,6,226.8062,OUT027,1985,1.0,3,4,4739.8302
FDK58,11.35,2,0.045165796,7,100.0016,OUT018,2009,1.0,3,3,1012.016
FDO08,12.6,2,0.09415375,4,165.7526,OUT019,1985,2.0,1,2,657.8104
NCW29,14.0,1,0.028907832,10,130.431,OUT049,1999,1.0,1,1,778.986
FDE04,19.75,2,0.018059621,8,179.766,OUT045,2002,2.0,2,1,2336.958
NCB19,6.525,1,0.090436094,5,85.0882,OUT049,1999,1.0,1,1,2233.0932
FDV15,10.3,1,0.146399712,3,103.9648,OUT049,1999,1.0,1,1,1661.8368
FDL58,5.78,2,0.074264356,7,264.7568,OUT049,1999,1.0,1,1,4745.8224
FDA08,11.85,2,0.050186726,4,164.1526,OUT045,2002,2.0,2,1,3124.5994
FDT43,16.35,1,0.020631654,4,50.1324,OUT018,2009,1.0,3,3,467.3916
NCX06,12.6,1,0.01561108,5,182.5976,OUT027,1985,1.0,3,4,5070.7328
FDT20,10.5,1,0.041395445,4,37.6164,OUT046,1997,2.0,1,1,540.6296
FDB41,19.0,2,0.097313129,8,48.0718,OUT046,1997,2.0,1,1,992.7078
NCN55,14.6,1,0.059582996,14,238.8538,OUT049,1999,1.0,1,1,6008.845
FDE40,12.6,2,0.098663652,1,62.9194,OUT027,1985,1.0,3,4,2105.2596
FDX49,12.6,2,0.101338651,12,232.63,OUT027,1985,1.0,3,4,5359.69
NCM53,18.75,1,0.052146456,10,104.628,OUT045,2002,2.0,2,1,745.696
FDE36,5.26,2,0.041764487,6,161.8868,OUT035,2004,2.0,2,1,3275.736
FDN57,18.25,1,0.054344186,7,140.2154,OUT045,2002,2.0,2,1,1701.7848
FDI24,12.6,1,0.078362484,6,177.937,OUT027,1985,1.0,3,4,6704.606
FDI19,15.1,1,0.052339069,3,242.7512,OUT046,1997,2.0,1,1,4119.9704
FDF24,15.5,2,0.042464962,6,81.5934,OUT010,1998,2.0,3,2,327.5736
FDG52,13.65,1,0.065732883,8,45.7402,OUT049,1999,1.0,1,1,780.9834
DRF36,16.1,1,0.023625114,2,189.3846,OUT045,2002,2.0,2,1,3630.6074
FDS45,12.6,2,0.051643608,7,107.3622,OUT019,1985,2.0,1,2,317.5866
FDX40,12.85,1,0.165694219,8,39.7164,OUT010,1998,2.0,3,2,231.6984
DRK12,9.5,1,0.041878397,2,32.99,OUT035,2004,2.0,2,1,133.16
DRC27,13.8,1,0.058091482,1,245.1802,OUT035,2004,2.0,2,1,5650.6446
FDL58,5.78,2,0.0,7,263.7568,OUT017,2007,2.0,2,1,2636.568
NCD30,19.7,1,0.026903714,5,96.0726,OUT045,2002,2.0,2,1,1272.3438
NCZ54,14.65,1,0.0,5,161.5552,OUT010,1998,2.0,3,2,324.9104
FDE10,6.67,2,0.150554711,7,130.0626,OUT010,1998,2.0,3,2,131.1626
FDR44,6.11,2,0.0,4,131.2968,OUT010,1998,2.0,3,2,260.9936
FDP28,13.65,2,0.134975628,8,260.0936,OUT010,1998,2.0,3,2,260.9936
FDX15,17.2,1,0.15616879,3,160.6578,OUT013,1987,3.0,3,1,3690.5294
FDA39,6.32,1,0.0,3,40.2822,OUT035,2004,2.0,2,1,1139.1838
FDY24,4.88,2,0.133700752,6,52.9298,OUT049,1999,1.0,1,1,1995.4026
FDC60,5.425,2,0.115119905,6,88.3514,OUT017,2007,2.0,2,1,1416.8224
FDH28,15.85,2,0.110030997,8,37.2506,OUT046,1997,2.0,1,1,265.6542
FDT25,7.5,1,0.051038045,12,121.7072,OUT017,2007,2.0,2,1,3552.7088
DRJ13,12.65,1,0.062837968,2,161.5578,OUT013,1987,3.0,3,1,2406.867
NCO07,12.6,1,0.017116983,14,211.956,OUT019,1985,2.0,1,2,213.056
FDW20,20.75,1,0.024129332,4,124.173,OUT013,1987,3.0,3,1,2956.152
DRF27,12.6,1,0.049754975,1,152.134,OUT019,1985,2.0,1,2,153.134
FDS49,9.0,1,0.0,12,79.7644,OUT035,2004,2.0,2,1,1649.8524
FDX25,12.6,1,0.101561568,12,181.9292,OUT027,1985,1.0,3,4,3101.2964
NCX42,12.6,1,0.005949644,5,165.6526,OUT027,1985,1.0,3,4,4769.1254
FDG33,12.6,2,0.13956116,15,170.4764,OUT027,1985,1.0,3,4,3435.528
FDL56,14.1,1,0.126035694,4,86.4198,OUT045,2002,2.0,2,1,1133.8574
FDF14,7.55,1,0.027164679,12,152.334,OUT035,2004,2.0,2,1,2603.278
NCD06,13.0,1,0.099325278,5,45.406,OUT046,1997,2.0,1,1,605.878
DRM47,12.6,1,0.04357366,11,192.8846,OUT027,1985,1.0,3,4,2293.0152
FDS46,12.6,2,0.082741482,7,118.7782,OUT019,1985,2.0,1,2,119.1782
FDB35,12.3,2,0.064565202,16,92.9804,OUT013,1987,3.0,3,1,1929.4884
FDX21,12.6,1,0.084554569,7,109.8912,OUT027,1985,1.0,3,4,2074.6328
NCU05,12.6,1,0.058451805,10,79.9618,OUT027,1985,1.0,3,4,241.6854
NCR38,17.25,1,0.113748685,5,251.3724,OUT045,2002,2.0,2,1,6795.1548
NCR18,15.85,1,0.020603511,5,42.7112,OUT017,2007,2.0,2,1,639.168
NCU41,18.85,1,0.052044976,10,192.1846,OUT035,2004,2.0,2,1,3248.4382
FDY56,16.35,2,0.062764429,4,227.6062,OUT017,2007,2.0,2,1,7222.5984
DRJ51,14.1,1,0.087977262,1,229.0668,OUT035,2004,2.0,2,1,3225.1352
FDK21,7.905,1,0.010010425,7,249.0408,OUT035,2004,2.0,2,1,3755.112
FDY25,12.0,1,0.033946163,12,179.3976,OUT013,1987,3.0,3,1,3440.8544
FDU44,12.15,2,0.058414678,4,163.4552,OUT035,2004,2.0,2,1,974.7312
FDL43,10.1,1,0.027106459,3,75.367,OUT049,1999,1.0,1,1,535.969
FDF05,17.5,1,0.027022883,8,262.491,OUT017,2007,2.0,2,1,5259.82
DRF15,12.6,1,0.058153409,1,152.034,OUT019,1985,2.0,1,2,306.268
FDL20,17.1,1,0.128937661,4,112.3886,OUT018,2009,1.0,3,3,1779.0176
FDV32,7.785,1,0.088846306,4,61.451,OUT049,1999,1.0,1,1,759.012
FDJ34,11.8,2,0.09357779,7,125.9704,OUT013,1987,3.0,3,1,1877.556
FDG08,13.15,2,0.165694678,4,171.8764,OUT045,2002,2.0,2,1,3779.0808
FDQ04,12.6,1,0.148392623,8,41.5796,OUT019,1985,2.0,1,2,41.2796
FDW13,8.5,1,0.098438394,12,51.1324,OUT017,2007,2.0,2,1,259.662
NCI17,8.645,1,0.143303291,10,96.341,OUT013,1987,3.0,3,1,193.082
FDY03,17.6,2,0.076276208,3,110.9202,OUT045,2002,2.0,2,1,1687.803
FDS12,9.1,1,0.175103435,6,127.5362,OUT017,2007,2.0,2,1,4655.9394
FDJ55,12.8,2,0.023511371,3,225.9404,OUT013,1987,3.0,3,1,4950.8888
DRK01,7.63,1,0.06105276,2,95.4436,OUT035,2004,2.0,2,1,1418.154
FDG28,9.285,2,0.049559042,8,246.4144,OUT017,2007,2.0,2,1,1225.072
FDY38,13.6,2,0.119418124,1,231.03,OUT045,2002,2.0,2,1,5359.69
FDN01,8.895,1,0.072545601,9,176.237,OUT045,2002,2.0,2,1,1764.37
NCR54,16.35,1,0.090486828,5,195.211,OUT013,1987,3.0,3,1,2553.343
FDG29,17.6,1,0.056245075,8,43.3454,OUT013,1987,3.0,3,1,1006.6896
FDG24,7.975,1,0.014618973,6,85.225,OUT013,1987,3.0,3,1,1081.925
FDG59,15.85,1,0.043479126,16,36.7164,OUT017,2007,2.0,2,1,308.9312
FDM28,15.7,1,0.045166237,8,178.666,OUT013,1987,3.0,3,1,2516.724
FDW04,8.985,2,0.057827101,8,128.831,OUT046,1997,2.0,1,1,1428.141
FDS26,20.35,1,0.089394766,1,260.1594,OUT013,1987,3.0,3,1,2093.2752
FDQ56,6.59,1,0.10550944,4,85.6908,OUT013,1987,3.0,3,1,1929.4884
FDK51,19.85,1,0.005234153,1,264.0884,OUT035,2004,2.0,2,1,5829.7448
FDL22,16.85,1,0.036390174,7,91.4488,OUT046,1997,2.0,1,1,2082.6224
FDH19,12.6,1,0.03292824,3,173.1738,OUT027,1985,1.0,3,4,7298.4996
FDY55,16.75,1,0.081252534,4,256.4988,OUT013,1987,3.0,3,1,7452.9652
FDY03,17.6,2,0.076552407,3,110.5202,OUT017,2007,2.0,2,1,450.0808
FDK21,7.905,1,0.016758569,7,250.4408,OUT010,1998,2.0,3,2,500.6816
FDZ10,12.6,1,0.044248175,7,126.202,OUT027,1985,1.0,3,4,3668.558
FDZ32,7.785,2,0.038288087,4,103.1964,OUT018,2009,1.0,3,3,736.3748
NCZ18,7.825,1,0.186032678,5,253.0698,OUT035,2004,2.0,2,1,6088.0752
NCF07,12.6,1,0.031867464,5,101.0016,OUT027,1985,1.0,3,4,2125.2336
DRE49,20.75,1,0.021370201,2,153.0024,OUT017,2007,2.0,2,1,2277.036
FDJ08,12.6,1,0.193772568,4,190.3846,OUT019,1985,2.0,1,2,573.2538
FDT39,6.26,2,0.009866049,3,151.1366,OUT035,2004,2.0,2,1,2267.049
FDE08,18.2,1,0.082551042,4,147.3734,OUT010,1998,2.0,3,2,296.9468
NCD06,13.0,1,0.099729888,5,46.306,OUT018,2009,1.0,3,3,559.272
FDB57,20.25,2,0.018801549,4,222.1772,OUT035,2004,2.0,2,1,5559.43
NCT54,8.695,1,0.119721451,5,95.5094,OUT049,1999,1.0,1,1,1237.7222
DRF49,7.27,1,0.071222087,2,113.5518,OUT045,2002,2.0,2,1,569.259
FDM25,12.6,2,0.060371962,9,174.0712,OUT027,1985,1.0,3,4,3866.9664
FDF20,12.85,1,0.033287541,4,198.4768,OUT045,2002,2.0,2,1,1379.5376
FDH27,7.075,1,0.05858462,1,142.7128,OUT018,2009,1.0,3,3,1869.5664
FDV60,12.6,2,0.11679292,6,196.211,OUT027,1985,1.0,3,4,5499.508
FDY59,8.195,1,0.031452265,6,94.3462,OUT049,1999,1.0,1,1,925.462
FDK36,7.09,1,0.00721395,6,47.9034,OUT035,2004,2.0,2,1,583.2408
NCM31,6.095,1,0.081196619,14,141.4154,OUT046,1997,2.0,1,1,1418.154
FDE33,19.35,2,0.049916364,4,80.2644,OUT017,2007,2.0,2,1,942.7728
FDU36,6.15,1,0.04627095,6,99.3384,OUT046,1997,2.0,1,1,2364.9216
FDV13,12.6,2,0.02747716,12,87.9856,OUT027,1985,1.0,3,4,3251.7672
FDV20,12.6,2,0.104704537,4,125.2678,OUT019,1985,2.0,1,2,254.3356
NCQ54,17.7,1,0.012540003,5,167.0474,OUT035,2004,2.0,2,1,5895.659
FDO23,17.85,1,0.147023834,13,93.7436,OUT018,2009,1.0,3,3,1134.5232
DRE60,9.395,1,0.159657596,2,224.972,OUT045,2002,2.0,2,1,7696.648
