Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA22,OUT017,2963.157558
NCL06,OUT046,3989.478535
FDI35,OUT013,2854.057067
NCW42,OUT045,3589.531044
NCX06,OUT049,3114.618094
FDC37,OUT027,2841.334109
FDZ14,OUT018,1582.437566
DRG49,OUT049,4230.514778
NCG06,OUT045,3910.480111
DRC36,OUT045,2750.004876
FDV21,OUT019,265.4915289
FDB53,OUT046,2126.150587
DRP47,OUT019,533.3947889
FDA14,OUT013,2554.15049
DRC24,OUT035,2513.730636
FDW21,OUT018,1369.931029
NCH29,OUT046,1532.112798
FDU58,OUT013,3058.049444
FDY27,OUT017,2862.989525
FDV56,OUT035,1790.930744
FDT59,OUT046,3717.510007
FDB23,OUT046,4021.02203
FDR49,OUT045,847.3797544
FDB03,OUT010,560.2546891
FDN39,OUT045,2653.30257
FDX02,OUT027,6086.909007
FDQ16,OUT027,2823.046785
FDU35,OUT018,1336.53116
NCT29,OUT013,1901.840019
FDZ27,OUT046,709.9542955
FDN57,OUT017,2344.104272
FDA03,OUT018,1987.068459
FDZ36,OUT045,3122.897557
NCU05,OUT013,1251.76736
FDT39,OUT018,2137.793567
FDK60,OUT017,1532.536923
FDZ25,OUT017,3262.426748
FDG12,OUT046,2136.717176
DRB01,OUT019,430.4300109
NCC43,OUT027,6362.217939
FDX13,OUT019,617.5060404
FDM22,OUT049,851.1376971
FDJ03,OUT027,1366.508498
FDU14,OUT018,3515.943792
FDB33,OUT010,373.5478583
FDP27,OUT046,2759.607372
FDO38,OUT010,180.0480357
FDE28,OUT027,5812.282599
FDO27,OUT035,1589.294003
DRL23,OUT027,2770.374786
FDS28,OUT046,1088.223827
FDX24,OUT013,1484.430371
FDZ02,OUT035,1575.931212
FDL46,OUT045,1923.685846
FDS60,OUT027,4855.279281
NCO06,OUT017,628.3390625
FDO16,OUT035,1404.871532
FDC60,OUT049,1432.053872
FDA48,OUT018,3084.789176
FDZ36,OUT027,5066.400253
FDK27,OUT045,1777.037788
FDW23,OUT018,582.3006691
FDM14,OUT018,1524.883016
FDM14,OUT013,1645.401311
FDW60,OUT018,2562.913818
FDE21,OUT013,1973.482737
NCM42,OUT035,1755.78863
FDY59,OUT010,203.1517968
DRI49,OUT049,1232.362839
FDT28,OUT019,351.9665876
FDQ22,OUT018,605.1726557
FDR60,OUT049,1195.408962
FDC50,OUT019,225.3976599
FDV24,OUT013,2536.405034
DRF48,OUT010,466.6575631
FDQ47,OUT046,831.0674594
DRN36,OUT049,1452.601969
NCY06,OUT035,2094.476858
FDE52,OUT035,1348.155863
NCB54,OUT045,1953.248237
NCF31,OUT035,2525.139445
FDJ08,OUT027,5164.326285
NCC07,OUT017,1648.209319
NCD19,OUT027,1438.170707
FDL46,OUT049,1872.431411
FDM20,OUT045,3737.613354
NCI06,OUT010,419.6995525
DRM11,OUT035,4258.964139
NCH07,OUT018,2367.381765
FDS23,OUT013,1936.423888
FDO49,OUT018,703.1965312
FDS35,OUT049,1136.695862
DRK39,OUT045,1096.008811
DRI39,OUT049,869.0920489
FDV04,OUT017,2690.126873
NCN14,OUT035,3048.724826
FDH08,OUT013,4290.038008
FDS20,OUT046,2864.529664
FDV40,OUT049,1144.585995
FDZ48,OUT010,242.6891283
FDS24,OUT027,2294.332496
FDK44,OUT049,2987.470599
FDS48,OUT045,2384.007771
FDK26,OUT010,584.3545162
FDD23,OUT045,3145.286764
NCH54,OUT017,2618.751992
NCP14,OUT010,216.4024684
FDM60,OUT010,112.4171837
FDV24,OUT017,2402.138383
FDH08,OUT018,3160.598831
FDS12,OUT027,3455.534029
FDR39,OUT027,4991.369714
FDP12,OUT027,1149.569461
DRF60,OUT027,6311.863807
FDC09,OUT035,1657.522612
FDF50,OUT018,2585.666471
FDG28,OUT035,4302.55302
NCE19,OUT017,840.5991603
NCM53,OUT010,242.285432
NCN18,OUT049,1773.521752
FDF32,OUT035,3394.167756
FDF11,OUT013,4179.463352
DRI59,OUT049,3824.478869
NCG54,OUT035,2804.404466
FDM44,OUT046,1506.133082
FDT57,OUT018,3269.038125
FDV24,OUT046,2272.001288
FDI50,OUT019,721.7355344
FDS09,OUT035,882.0789728
NCC31,OUT027,4238.224533
FDQ07,OUT019,588.5516829
FDC22,OUT017,3297.982768
FDZ56,OUT046,2710.178021
FDZ40,OUT019,159.9050757
FDS46,OUT027,3151.432644
DRD24,OUT045,2098.732537
FDV45,OUT017,3292.379539
FDL26,OUT045,2421.174931
FDA56,OUT018,1627.968919
FDN27,OUT046,1691.564282
FDM20,OUT049,4185.645193
FDO16,OUT017,1385.952317
FDL03,OUT035,3453.750625
FDE58,OUT046,1781.461866
FDI02,OUT027,2827.624097
NCC55,OUT019,134.5272793
FDR03,OUT018,2913.121942
FDB14,OUT017,1571.460331
FDR45,OUT013,4267.989368
NCN07,OUT017,2353.406403
FDM51,OUT019,259.0874722
FDT52,OUT027,6100.367439
FDL26,OUT046,2545.417168
NCZ42,OUT046,3783.146956
DRI47,OUT019,361.0003496
FDW40,OUT013,2029.176544
FDN34,OUT046,2793.809504
FDS01,OUT035,3156.923751
NCG55,OUT045,1763.345914
FDC11,OUT035,1631.907418
FDX35,OUT018,3157.179617
NCB06,OUT046,2549.43091
FDR09,OUT019,609.3015332
FDC53,OUT017,1630.819382
FDY45,OUT013,4628.97057
FDA22,OUT010,421.8341928
FDE02,OUT035,1557.163967
FDW21,OUT045,1702.787905
FDV34,OUT046,1178.868315
FDS59,OUT049,1782.914901
NCW17,OUT017,2285.604142
NCK54,OUT046,1821.733609
FDG17,OUT019,764.9110346
FDG35,OUT017,3544.49184
FDD08,OUT010,103.1428456
NCO07,OUT017,3920.109745
FDJ10,OUT010,359.0541675
FDW36,OUT017,1643.424022
FDW21,OUT010,285.5677699
FDY19,OUT017,1811.422831
DRE03,OUT013,790.5895663
NCC55,OUT049,691.7423935
FDH52,OUT010,160.2538473
FDO09,OUT017,4392.144312
FDU43,OUT045,3700.923142
FDX09,OUT010,406.4973523
FDH40,OUT019,234.9150753
FDW58,OUT017,1706.632524
FDC47,OUT017,3604.15787
NCR41,OUT035,1596.694465
DRG49,OUT035,3985.614484
FDC52,OUT027,4267.717058
FDY13,OUT046,1291.216487
FDY35,OUT013,638.345291
FDI35,OUT017,3325.783125
NCU18,OUT049,2372.404529
FDY33,OUT018,2145.355997
FDC15,OUT027,4413.861288
FDU01,OUT049,3263.277714
NCU42,OUT046,2762.213165
NCV29,OUT018,2423.991915
NCY30,OUT017,3143.104276
FDQ46,OUT049,1852.315243
FDG58,OUT027,4174.251282
FDK33,OUT017,3810.780094
NCD07,OUT045,1704.69889
NCX29,OUT027,3820.02667
NCT42,OUT013,2576.166401
DRN59,OUT035,840.8669357
FDI44,OUT035,1270.309839
FDA45,OUT049,2926.895632
FDP31,OUT045,968.894577
FDY01,OUT046,1848.212803
FDT09,OUT018,1790.941057
DRH03,OUT027,2486.300232
FDA36,OUT018,2616.128453
NCF31,OUT017,2503.485191
FDG14,OUT049,2620.026376
FDG28,OUT027,6109.267525
FDU14,OUT049,4281.665298
FDY47,OUT019,386.0315352
FDI56,OUT049,1411.137439
DRD01,OUT013,808.6392197
FDM22,OUT046,915.5280594
FDH33,OUT013,767.2632336
DRZ24,OUT013,1962.965821
NCQ38,OUT046,1869.988233
FDO16,OUT027,2153.95375
FDU07,OUT027,4112.903799
NCB07,OUT013,3370.360321
FDU48,OUT045,2185.993666
NCM43,OUT045,2585.797105
FDR31,OUT010,391.0353678
DRK49,OUT018,593.4769582
NCI30,OUT010,599.2336186
DRD60,OUT017,2981.172255
NCG19,OUT046,3345.323954
FDH12,OUT035,1646.900058
FDM32,OUT035,1423.521126
FDM27,OUT035,2712.946185
NCU53,OUT027,4369.268599
NCQ18,OUT046,1354.259744
FDS10,OUT013,3088.117566
FDB33,OUT027,4342.964436
FDI12,OUT013,1218.476659
NCW42,OUT013,3863.56795
NCC06,OUT018,1813.231644
FDW02,OUT017,2158.709878
NCD43,OUT017,1675.516732
FDM57,OUT018,1071.525979
FDA58,OUT017,3858.846917
FDK56,OUT046,2662.549447
FDP52,OUT045,3758.622097
FDW20,OUT018,1740.900696
FDS52,OUT049,1607.114643
NCT29,OUT018,1626.63952
NCL54,OUT013,3020.792201
FDC05,OUT045,3067.293624
FDF34,OUT035,3631.239848
FDP03,OUT027,3395.291306
FDD32,OUT010,172.8553973
FDZ10,OUT045,1973.312559
FDZ40,OUT035,920.129561
FDD51,OUT018,619.6199737
NCY30,OUT019,440.0403332
FDP58,OUT017,3444.899942
FDV49,OUT017,4617.12051
FDY24,OUT019,156.7896055
NCO55,OUT017,1851.673511
FDR13,OUT017,2254.730822
FDS51,OUT017,896.8229771
FDP26,OUT045,1542.212059
NCB54,OUT027,3406.926236
FDF32,OUT017,3259.612247
FDN31,OUT018,2631.814955
DRM48,OUT017,621.7635667
FDN20,OUT049,2899.015566
DRL01,OUT046,3931.259477
FDV56,OUT049,1634.367619
DRH13,OUT027,2867.532026
FDA03,OUT017,2341.978164
FDF47,OUT027,5136.695087
FDX32,OUT046,2223.139192
FDX57,OUT049,1458.835053
NCA30,OUT045,3112.628338
FDO49,OUT013,735.0135684
FDL04,OUT019,242.7386937
DRM48,OUT035,643.6820105
FDR16,OUT013,3299.863127
NCC19,OUT018,2573.082196
NCE42,OUT045,3662.37024
FDY24,OUT017,904.6013509
FDH19,OUT049,3023.528364
FDJ46,OUT013,2965.030756
FDN45,OUT010,538.9639363
FDY08,OUT035,2343.231776
FDZ37,OUT035,1633.421511
NCT30,OUT045,749.6379119
DRY23,OUT018,605.3174039
NCZ30,OUT018,1598.66335
FDC44,OUT018,1557.16197
FDB45,OUT035,1664.900807
FDY04,OUT013,2509.641444
FDM27,OUT046,2592.799012
FDZ43,OUT017,4235.110388
FDT39,OUT019,409.0078659
NCC06,OUT019,311.4245966
FDL15,OUT027,4259.062819
FDL57,OUT017,4486.032764
FDU08,OUT046,1480.762725
FDK40,OUT017,4562.057592
FDQ12,OUT010,573.8890341
FDS48,OUT017,2596.524157
FDP09,OUT045,3300.263763
FDW21,OUT049,1599.020871
FDY25,OUT035,3158.874224
DRE13,OUT017,1251.001405
FDV43,OUT019,139.7292661
FDD22,OUT045,1708.177105
FDM46,OUT019,212.6749221
NCO30,OUT010,454.4455408
FDM25,OUT046,2944.702342
NCN41,OUT049,1986.404387
FDU24,OUT045,1419.730013
FDZ50,OUT046,3005.433861
FDP45,OUT013,4345.167256
NCM54,OUT045,2040.864486
FDW10,OUT019,402.7422474
FDP20,OUT017,1992.403826
FDK32,OUT046,2405.732417
FDN52,OUT049,1423.400865
FDM58,OUT045,1722.364199
FDZ46,OUT027,2931.531182
NCA18,OUT018,1534.036858
FDD35,OUT046,2053.560612
NCK31,OUT035,976.7142848
FDI40,OUT027,2684.989382
FDT50,OUT019,230.4290537
NCT06,OUT046,2594.598302
FDT31,OUT035,3269.041036
FDT45,OUT049,854.3552463
FDT13,OUT045,2939.222139
FDO50,OUT045,1451.714972
NCU18,OUT010,308.8537708
NCR54,OUT049,3337.821036
NCO18,OUT018,2506.679512
FDU09,OUT045,885.1641936
FDT13,OUT018,2739.139598
FDE09,OUT046,1741.131932
NCK53,OUT019,252.7958989
FDG45,OUT049,3800.227682
DRH15,OUT035,732.4215137
FDO21,OUT019,716.2980357
FDD14,OUT027,4579.042626
FDC09,OUT046,1595.575184
FDH45,OUT027,1294.978237
FDV32,OUT046,935.6879557
FDG12,OUT035,2154.103187
FDS32,OUT013,2130.031168
NCL55,OUT018,3556.97966
DRE01,OUT035,4032.425481
DRE15,OUT049,1096.53716
NCL42,OUT045,3790.094068
FDP31,OUT013,868.3821776
FDN33,OUT018,1234.457933
FDZ59,OUT046,2989.724754
FDE45,OUT010,413.4583656
FDJ07,OUT013,1989.61967
FDQ45,OUT018,2642.550485
FDM33,OUT027,5677.449984
FDO15,OUT010,157.9704147
FDM46,OUT013,1439.541613
FDR03,OUT045,3339.676484
FDY49,OUT018,2393.491793
FDQ60,OUT045,1899.393596
FDW10,OUT049,2986.607007
FDO51,OUT049,753.5789282
FDJ40,OUT018,1427.374541
FDS20,OUT018,2469.506487
FDU45,OUT013,1593.536603
FDV02,OUT035,2927.856989
FDN09,OUT046,3905.837898
NCM55,OUT027,4653.027725
FDN23,OUT018,2056.773834
FDY31,OUT010,319.2063539
FDW03,OUT010,269.1143207
FDD14,OUT046,2717.69841
FDV23,OUT017,2135.88828
DRI03,OUT045,2684.973102
FDN13,OUT035,1699.990619
FDF45,OUT027,1562.046399
FDU46,OUT035,1505.172098
FDB57,OUT049,3850.857734
FDV12,OUT049,1495.822508
FDQ58,OUT013,2610.014922
NCA18,OUT017,1812.363701
FDH52,OUT049,967.482934
FDM24,OUT018,2094.756963
NCP43,OUT027,4577.291699
NCO18,OUT019,433.7691059
FDM32,OUT017,1343.891691
NCL07,OUT017,838.7202005
FDK03,OUT013,4342.527367
FDP59,OUT017,1845.106844
FDQ24,OUT049,4248.968738
FDQ16,OUT018,1526.848247
FDU44,OUT013,2534.187061
FDH28,OUT010,115.441181
FDV28,OUT019,137.7482467
FDM22,OUT045,827.2089084
FDR56,OUT046,3071.876887
FDV39,OUT049,3491.203372
FDU37,OUT019,241.7654063
FDQ11,OUT010,872.7212816
FDX02,OUT045,3674.303578
NCS42,OUT018,1179.218904
FDY57,OUT027,2532.897525
FDB21,OUT049,4037.457607
FDE28,OUT017,3886.432207
FDQ55,OUT017,1898.344482
FDA48,OUT049,3727.496148
FDZ19,OUT045,2565.0422
NCC43,OUT045,3697.723782
NCV18,OUT046,1157.537985
NCA42,OUT018,2160.204093
FDY45,OUT046,4229.219214
NCC30,OUT045,2821.461961
FDM57,OUT013,1198.159135
FDL09,OUT010,402.0521929
FDB09,OUT027,3387.423134
FDT44,OUT035,2013.396467
NCT06,OUT027,4507.906094
FDX26,OUT049,3151.317927
FDK32,OUT013,2362.820045
DRA12,OUT046,2168.724955
FDO46,OUT010,525.5462656
FDE52,OUT013,1236.339736
NCH42,OUT045,3540.800895
FDV08,OUT035,705.7146546
FDB47,OUT018,2797.596044
FDC28,OUT010,246.6162787
FDD22,OUT046,1694.169407
FDS07,OUT027,3104.57661
DRI13,OUT045,3413.120933
FDG32,OUT018,3125.445233
FDU14,OUT017,4157.845894
FDD28,OUT019,168.0217098
NCP41,OUT017,1929.142664
FDS08,OUT049,3080.906126
FDX47,OUT045,2641.282505
FDC53,OUT019,257.3184246
FDQ19,OUT035,4367.750596
FDL14,OUT045,2574.577981
FDM33,OUT019,500.1502448
FDA51,OUT045,1868.217582
FDZ27,OUT018,598.0901097
FDT04,OUT046,698.4560053
DRC13,OUT049,2020.034493
FDR16,OUT027,5510.969904
FDQ03,OUT027,6278.676417
FDE38,OUT035,2988.898395
DRH23,OUT027,1639.522175
FDT11,OUT019,583.6852951
FDD09,OUT035,3124.726141
FDR40,OUT045,1289.450115
FDX07,OUT017,3275.644524
FDR07,OUT035,1586.779835
FDA51,OUT017,1622.784508
FDT59,OUT019,599.5643586
FDF20,OUT017,3291.683036
FDR13,OUT045,1874.207739
FDY26,OUT049,3620.198346
FDW04,OUT017,2360.134511
FDK52,OUT017,3703.857631
FDN60,OUT049,2671.253689
FDM09,OUT019,468.3196377
FDP46,OUT049,1364.528055
FDB50,OUT019,197.4954431
NCQ29,OUT049,4188.186126
FDP16,OUT027,6157.326923
FDX33,OUT018,2183.10326
FDP07,OUT010,501.262303
FDN22,OUT046,3946.098387
FDF39,OUT049,4506.856284
FDS21,OUT017,1001.615441
NCM42,OUT013,1759.636757
FDK50,OUT019,404.1142839
DRF13,OUT027,4080.872667
FDH35,OUT018,2249.828441
FDP60,OUT018,1404.835974
DRJ49,OUT027,3555.868592
NCT42,OUT019,366.1394667
FDE38,OUT049,2884.131309
FDI04,OUT049,3429.536049
NCH54,OUT045,2505.935971
FDT56,OUT049,907.3909757
DRD15,OUT018,3179.749568
FDV58,OUT013,3448.941101
FDP21,OUT049,3274.41193
FDH05,OUT013,3740.692772
FDR10,OUT027,4376.917766
NCP06,OUT045,2504.846708
FDF33,OUT049,1779.675733
DRK37,OUT013,3511.311274
DRH49,OUT045,1204.004601
FDT58,OUT013,2811.931416
FDD41,OUT018,1410.22978
FDP40,OUT018,1532.637569
FDM51,OUT027,2669.44112
FDO45,OUT010,197.4494969
FDW33,OUT010,219.2676444
FDY24,OUT045,951.8900875
FDB10,OUT010,575.0260784
FDM40,OUT035,2414.664437
NCI06,OUT017,3013.244814
FDW12,OUT019,405.4348279
FDX48,OUT027,4230.192352
NCW05,OUT027,2851.627291
FDX27,OUT017,1434.341888
DRM37,OUT045,3277.295696
FDA38,OUT045,3685.369241
FDR36,OUT046,819.1443712
FDZ45,OUT046,3110.880429
FDG05,OUT017,2827.875073
FDK28,OUT013,4492.239209
FDV47,OUT045,1338.213304
FDN21,OUT045,2720.017035
FDP20,OUT027,3455.344183
FDI35,OUT045,2815.559409
DRY23,OUT013,679.6108377
FDA56,OUT017,2007.739656
FDB09,OUT013,2077.590892
NCO26,OUT027,3143.613863
FDQ49,OUT018,2161.356673
FDI52,OUT027,3265.902104
FDZ44,OUT027,3156.666833
FDZ09,OUT018,2459.469318
FDY03,OUT049,1751.001073
NCG42,OUT017,2079.659791
DRI13,OUT027,5957.829253
FDQ32,OUT013,1857.472037
FDW16,OUT035,1527.309719
FDU27,OUT046,667.9000813
FDR28,OUT010,422.5239513
FDQ49,OUT010,397.9519489
FDS37,OUT046,1829.895989
FDW26,OUT018,3067.002523
FDX12,OUT018,3392.482694
NCP06,OUT013,2604.914085
FDW45,OUT010,335.3890934
NCN30,OUT049,1420.1239
FDN24,OUT049,869.2662425
NCL41,OUT027,1100.606239
FDR02,OUT019,268.2392188
FDD09,OUT010,443.7889725
FDS33,OUT010,235.9582204
FDU22,OUT045,1908.305822
FDI53,OUT013,2371.12683
DRH01,OUT049,3010.637933
FDX32,OUT013,2149.468841
NCP30,OUT018,597.5909693
FDB60,OUT045,3054.253116
FDB14,OUT049,1474.214575
NCP02,OUT035,919.7920387
FDJ10,OUT017,2402.485591
FDG34,OUT046,1707.962142
NCB18,OUT017,1306.653032
FDM16,OUT049,1172.445168
FDW25,OUT018,1147.684295
FDB35,OUT010,246.952973
DRN11,OUT013,2154.44211
FDF41,OUT019,529.6309599
FDH16,OUT045,1310.051721
NCQ50,OUT018,3002.103279
DRH23,OUT018,893.1594674
DRJ37,OUT013,2631.788111
DRJ24,OUT027,5119.206125
FDY16,OUT035,3147.212538
FDQ27,OUT045,1755.027241
FDZ33,OUT045,2282.141217
FDF29,OUT045,2083.484303
FDA08,OUT049,2794.710669
FDG31,OUT046,948.1449424
FDE34,OUT019,467.4941408
NCR30,OUT027,1929.082282
FDV33,OUT035,4556.723206
DRZ24,OUT018,1555.607527
NCL54,OUT035,2878.99688
FDR12,OUT049,2968.818307
NCC54,OUT046,3737.80914
DRN59,OUT013,793.3873995
FDX50,OUT019,262.5211684
FDV31,OUT027,4891.670444
NCA29,OUT027,4737.283832
FDW60,OUT049,3126.33327
FDX08,OUT017,3123.480546
DRD49,OUT013,4047.841541
FDD33,OUT046,3355.077675
FDW35,OUT013,742.4356174
FDJ36,OUT017,1602.813716
FDV51,OUT035,2798.515985
FDW36,OUT046,1632.416089
FDH35,OUT046,2875.815369
NCS30,OUT027,3550.556102
FDN49,OUT017,716.2540772
FDL08,OUT018,3271.243722
FDI09,OUT013,3569.247303
FDP19,OUT018,1822.727468
FDU21,OUT010,104.35306
NCP41,OUT045,1663.824972
FDY10,OUT013,1841.304157
FDP12,OUT018,551.5447252
NCN26,OUT049,1873.932574
FDK44,OUT013,2956.874991
FDC28,OUT049,1794.343058
FDJ41,OUT027,6477.774775
NCT29,OUT035,2089.488618
NCH42,OUT019,559.9143576
FDU60,OUT018,2291.682469
FDS02,OUT045,3173.913492
FDC51,OUT046,2130.992211
FDU03,OUT013,2858.326887
FDX39,OUT045,3359.990472
NCY05,OUT010,113.159895
NCL06,OUT027,6547.406797
FDD32,OUT035,1244.278911
NCN41,OUT045,1901.822391
NCX53,OUT049,2314.033285
FDU57,OUT019,405.2649899
FDQ23,OUT046,1614.504498
FDQ52,OUT045,3864.754745
FDC14,OUT045,746.8042059
FDY09,OUT035,3133.55044
FDQ28,OUT045,2465.357001
FDV25,OUT046,3395.644153
FDJ07,OUT035,1879.408107
DRB25,OUT049,1636.366701
FDK52,OUT019,518.4068454
FDY52,OUT027,1643.229142
FDB28,OUT046,2884.926115
FDT36,OUT035,705.6184857
FDV25,OUT017,3942.781288
NCN07,OUT027,3372.014112
FDC57,OUT017,3342.839885
FDQ03,OUT018,3239.276085
FDU23,OUT017,3064.048135
NCX41,OUT035,3738.777118
NCD06,OUT035,813.4122479
FDW08,OUT045,1623.827953
NCU29,OUT017,2620.9869
NCE06,OUT013,2740.884619
FDV52,OUT010,274.0731174
FDB02,OUT017,3443.796988
NCR18,OUT045,670.4098357
FDK16,OUT049,1494.075161
NCQ29,OUT010,616.4107657
FDZ01,OUT019,317.7795566
FDW27,OUT035,2695.70965
FDD17,OUT018,3175.795495
FDW39,OUT013,2958.965919
DRH59,OUT045,1129.688012
FDS52,OUT013,1641.45873
FDU40,OUT027,5164.635105
NCF54,OUT013,3062.775058
FDH46,OUT045,1633.770429
NCP14,OUT049,1660.2363
FDH50,OUT049,3258.842848
DRF15,OUT010,325.3264592
FDV27,OUT027,2270.115728
NCJ06,OUT049,1893.108625
FDN02,OUT018,2924.113937
FDQ51,OUT049,717.0423248
FDQ07,OUT017,3790.407231
FDS45,OUT049,1730.302431
NCJ06,OUT045,1958.880228
FDD36,OUT035,1953.066104
FDY25,OUT045,2821.559736
FDU52,OUT046,2455.082593
DRK47,OUT017,3913.85739
NCL30,OUT017,2043.88893
FDN22,OUT035,4209.365492
NCF30,OUT027,3417.733361
FDK03,OUT035,4348.915875
FDT45,OUT017,870.2289062
NCC54,OUT027,5801.945217
FDP08,OUT018,2909.334932
FDU44,OUT046,2715.488021
DRG39,OUT035,778.6715064
FDU32,OUT049,1986.90395
FDY27,OUT049,3141.212974
NCP54,OUT013,2083.480527
NCZ41,OUT049,2032.173785
DRL49,OUT013,2517.86859
FDI05,OUT018,1014.637841
FDY56,OUT045,3511.398385
DRC13,OUT013,1935.492675
NCV29,OUT017,3245.2529
FDR24,OUT049,1339.947755
FDZ34,OUT018,2617.547984
FDP37,OUT035,2239.162207
FDX08,OUT027,4984.203219
FDS57,OUT045,2356.32031
NCG18,OUT049,1574.249108
FDK25,OUT018,2359.695138
FDH53,OUT049,1176.686922
DRI59,OUT018,3003.22756
FDA52,OUT046,2828.632025
FDT20,OUT010,102.4470961
FDE36,OUT019,463.6553731
FDI24,OUT017,2858.0735
FDB28,OUT018,2679.308943
FDV11,OUT017,3334.833846
FDP01,OUT046,2606.346921
FDD34,OUT027,4380.777018
FDJ50,OUT027,1441.486961
FDZ44,OUT013,1968.973599
DRO59,OUT035,1295.785283
DRB48,OUT045,584.2127717
FDR21,OUT018,2607.223307
NCE42,OUT010,622.0792648
FDO23,OUT046,1429.821332
NCE30,OUT018,3152.394035
FDQ22,OUT035,672.8757546
FDY01,OUT045,1835.413328
FDS08,OUT017,2924.879354
FDG28,OUT018,3444.46278
FDQ51,OUT018,601.2769268
FDB05,OUT017,4179.43153
FDO56,OUT049,1869.695029
FDE02,OUT018,1253.331593
FDN45,OUT017,3639.302324
FDS09,OUT013,741.5676504
NCA54,OUT018,2555.520899
FDP09,OUT010,538.1207564
FDC53,OUT045,1530.419185
NCM55,OUT017,3249.549532
FDL09,OUT018,2512.70413
FDA11,OUT019,232.4988012
FDA50,OUT045,1367.165837
FDC23,OUT017,3315.705383
FDE22,OUT049,2776.058179
FDD23,OUT046,3290.432273
NCA29,OUT049,3033.799682
FDK38,OUT046,2350.033172
DRC13,OUT046,2137.429118
NCP43,OUT049,3062.990062
FDX28,OUT049,1650.674738
FDF08,OUT049,1352.616671
FDZ33,OUT046,2219.988306
FDD10,OUT049,3048.853822
FDO58,OUT017,2798.430774
FDI50,OUT017,4398.786976
FDO58,OUT045,2682.98717
FDX08,OUT013,3241.930445
NCK17,OUT010,120.636887
FDF39,OUT035,4555.484954
FDU45,OUT010,255.3037396
NCJ18,OUT018,1662.983343
DRC27,OUT019,591.5179509
DRC25,OUT035,1259.237182
FDU59,OUT035,2743.508806
FDU28,OUT035,3478.329641
NCP30,OUT046,654.2895523
FDB39,OUT018,702.1742058
FDE41,OUT013,1220.775013
DRH11,OUT010,144.8389599
FDA58,OUT045,3438.736551
FDU50,OUT046,1909.692883
FDM34,OUT013,2135.043467
FDM44,OUT027,2685.519788
FDR39,OUT045,3053.216518
FDM25,OUT045,2812.262067
FDQ49,OUT049,2635.376202
DRH25,OUT018,693.4715956
FDM09,OUT027,4619.661983
FDL44,OUT019,404.9590854
NCR42,OUT018,508.2001049
DRL59,OUT046,936.6342533
FDX43,OUT013,2912.411198
DRK47,OUT010,578.1447923
FDU48,OUT018,1940.328861
FDY12,OUT045,834.8077092
NCN43,OUT018,1716.44113
NCM55,OUT018,2672.637945
FDQ21,OUT027,3258.992403
FDX13,OUT035,4209.632904
NCK30,OUT027,6447.300237
FDG20,OUT049,2960.535896
DRG27,OUT017,602.879335
FDY14,OUT018,3515.057651
FDP59,OUT035,1806.127067
FDU60,OUT017,3088.607908
NCC18,OUT019,345.4988584
DRJ39,OUT017,3592.46698
FDS07,OUT049,1810.114923
FDM08,OUT027,5969.637398
FDP51,OUT045,1779.329039
FDU16,OUT035,1339.991371
FDH12,OUT013,1705.203596
DRE48,OUT010,473.8911049
